url,label
http://affiliatealmanac.com/systembanking/9e4c606bedc931f8f4637dd89b3cf3b8/,1
http://d.altascdn.com/testapk/cong_0508_111.apk,1
http://kcsp2.blogspot.com/,0
http://1c.webrise.ru/SothebyRealty/login.html,1
http://91.239.25.9:6892,1
http://comsertim.ro/images/smilies/Impots.gouv.fr/,1
http://mymaryvilledentist.com/fileboxup/,1
http://www.highrankings.com/metakeyword,0
http://'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cooSTskU7XMECfYcQBCFfxAj9Fn7oWEcmPLNoSLBy16cSenhVXP5ZoVXavkTrglsPhm3xJ7MMNxkAyKksg5c9j2hU1pMdrIcjMK3rmwzIU9mfM-oDoOMg7tD_63lp7PkQhny6VnsSOkEXDfbAC2iLUEno3UpdWDg6pgqiQV5CJaGM81VUQ8A9Clr5h7hh-AXgnLzHgST232wljddcgUy824jJHk8A\%3D\%3D&amp;attredirects=1',1
http://stiresearch.health.pitt.edu/personnelDetail.asp?pid=1750&id=603&ptype=2&pnavcat=2,0
http://jamestowndistributors.com/userportal/show_product.do?pid=2150,0
http://topix.com/forum/city/eagle-pass-tx/T0N92O88FR2N14854,0
http://people.famouswhy.com/barbara_bennett/,0
http://reunion.com/williamruddy/,0
http://37.1.207.31/,1
http://cetis43.mx/Modpro/alibaba/index.php?url_type=footer_term&amp;biz_type=Notifications_MC&amp;crm_mtn_tracelog_task_id=fc960c38-1eab-40e4-b8a9-d34ce7d2c093&amp;crm_mtn_tracelog_log_id=13712324325,1
http://www.clientebb.h19.ru/aspx/#,1
http://adelina.se/1/,1
http://www.ohmatex.dk/pdfer/whitepaper_smart_textiles.pdf,0
http://wi.wu-wien.ac.at/rgf/rexx/,0
http://mosaic.nu/wp-admin/network/docs/85794d92f546b90e8bc28a2f341bded5/,1
http://fanbase.com/Ohio-State-Buckeyes-Football-1987/roster,0
http://skateordievideos.blogspot.com/,0
http://cms.paypal.com.cgi.bin.webscr.cmd.flow.session.lohzumu98pjkwkwudgtj3ie6btlub.online775885d80a13c0db1f8e263663d3faee8d43b1bb6ca3uiez.befemelle.com/8a59345819518a9a28bd99215bbef9f8/,1
http://storsvc.org/,1
http://en.wikipedia.org/wiki/Souled_Out_2000,0
http://au.linkedin.com/pub/mike-harley/2/B26/362,0
http://m30dv3f4la13g.blogspot.com.ar/,1
http://thescoutingnews.com/index.php?option=com_content&view=category&layout=blog&id=37&Itemid=79&limitstart=560,0
http://article.wn.com/view/2011/11/23/Thats_sum_Google_Doodle_Interactive_animation_uses_puzzles_t/,0
http://www.jokenfun.com/free-wedding-clipart.html,0
http://giantsgab.com/2011/09/14/giants-sign-brandon-stokoley/,0
http://spokeo.com/Charles+Levy,0
http://economics.soton.ac.uk/staff/aldrich/jeffreysweb.htm,0
http://www.tpacc.co.za/,1
http://tibie.net/data/feeder/,1
http://names.whitepages.com/michael/massee,0
http://tardafs.com/KoMPL4HnTSMo/webscrprim.php?dGFyZGFmcy5jb20=uhOTG57kUJHNN54221oPLKj988777AOP784MTM1ODI5NTE4MQ==,1
http://nflsoup.com/?p=1979,0
http://planet-turbo.com/?artists=chromeo,0
http://shagunproperty.com/hypvx,1
http://funlibre.org/phpformgenerator/forms/form1.html,1
http://www.kleimo.com/random/name.cfm,0
http://aandgtrading.com/category_images/k2/bookmark/,1
http://lesborgestv.cat/dropprocess/a8aef439a6a85788e63ac7b16e4f437d,1
http://icplit.org/art/bookmark/index.php?.randInboxLight.aspx?n74256418&amp;email&amp;fav.1&amp;fid=1&amp;fid=4&amp;fid.1&amp;fid.1252899642&amp;fid.4.1252899642&amp;randIn=http://black.pk/wp-content/2013/04/bp.postale/ii.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4,1
http://popularswat.asia/feeds/client.dll,1
http://answers.com/topic/quebec-city-quebec,0
http://flickr.com/photos/fotoproze/3332454251/,0
http://tech.fortune.cnn.com/2011/09/10/steve-jobs-death-tweet-costs-shira-lazar-her-cbs-news-gig/,0
http://cndoubleegret.com/admin/secure/cmd-login=ffdcfcd994352b738b0776673491233e/,1
http://facebook.com/alessandrobarbaglia,0
http://blockbuster.com/browse/catalog/personDetails/269197,0
http://ttplpdla69.jekacekydibaccs.info/t8fsylmhna\nwww.todobulla.cl/enrique-osses-aseguro-que-en-final-ante-la-uc-perjudico-a-u-de-chile,1
http://aqelymlo.ltxytbqnccoawnjxcdy.ml:20698/entertain/halt-sensible-35119251,1
http://democraticspace.com/blog/quebec2007/chicoutimi/,0
http://www.tug.org/interest.html,0
http://bb.dyns.cx/Acesso/,1
http://jotm.com.au/wp-content/plugins/bb.php?r=jdj9n3dvb14l0,1
http://www.informaticauno.net/gamma/tmp/bstr.php,1
http://vfpukzlx5e3w7bpv.onion.gq/vlmHY46&JsokrVmiN-z-Rkk=k7O-nhAMP&KCebU13mdGFD=cOoH-FdILWiB&05yuPgm-Z4=EQ5OlreOdw&a6BtCxG9jPbqwt=DSbJ5LYA9gqLjN8&555T788Cs5=gw6qvO4tGU&JyowXMjeoM-4=yHKK,1
http://weatherchannelwirelessweatherstation.blogspot.com/,0
http://baseball-almanac.com/teamstats/roster.php?y=1913&t=DET,0
http://kcpappsuglccoiq.xyz/information.cgi,1
http://www.classiccar.com.pk/~kayabest/sys/not/521499359863/zip/billing/on/hold/account/id/15498732198732155135/9ec6a36831afb00881f6b3809175870a/,1
http://www.tehace.za.pl/,1
http://pwmclients.com/remax/,1
http://starpulse.com/Music/Les_Breastfeeders/index.html,0
http://hotasfuckblog.blogspot.com/2009/06/actor-scott-caan-nude.html,0
http://grantica.ru/ewkjc1,1
http://pratiquesaude.com/wp-includes/customize/spacebox/,1
http://timescolonist.com/news/Victoria+voters+bridge/3861275/story.html,0
http://3doll5tlron1y1jweey61gj.hemsireformasitesi.com/watch.php?mgwwv=MTI4MjU5ZDMyZTIxODQ1MDdjYjZlZWIwZWVlODY3NTcz,1
http://greatneckhomesforsale.net/,0
http://roboticsdesigngroup.com/,0
http://oceancurrents.rsmas.miami.edu/pacific/pacific.html,0
http://youtube.com/watch?v=c-i06524q0Q,0
http://91.239.25.229:6892,1
http://proascolcolombia.com/portal/modules/mod_banners/Imprimir_IntimacaoCTI2015-03698541.rar?cli=Cliente&/yRpBKPujKU/nNqRc6QsuO.php,1
http://www742.paypal.ca.81244.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
http://www.sohosoftware.com/rolobase/,0
http://free-scores.com/free-sheet-music.php?CATEGORIE=270,0
http://free-backup.info/free-winzip.html,0
http://fluogas.com/index/administrator/components/com_categories/dropboxxx2/Dropbox/,1
http://app20yearsx.com/at.html,1
http://torrentfunk.com/torrent/273240/3x-krazy-discography.html,0
http://oac.cdlib.org/view?docId=tf887006sq;style=oac4;view=dsc,0
http://isg.ee.ethz.ch/tools/gedafe/index.en.html,0
http://www.erikveen.dds.nl/ruby.html,0
http://a1tourism.com/slovenia/,0
http://jumpdavidjump.com/,0
http://us.battle.net.ok.qe-rs.com/login/en/login.html?app=bamapp=wameor=0ref=https:battle.net/account,1
http://events.limaohio.com/lima-oh/venues/show/572998-memorial-hall,0
http://test.rinzo.biz/6/6.exe,1
http://en.wikipedia.org/wiki/Dunning_(surname),0
http://en.wikipedia.org/wiki/Hello_Kitty,0
